iter	Passed	Remaining
1569	80786	22126
1570	80825	22071
1571	80870	22018
1572	80911	21963
1573	80950	21909
1574	80987	21853
1575	81028	21799
1576	81069	21745
1577	81114	21692
1578	81160	21639
1579	81201	21585
1580	81244	21531
1581	81287	21477
1582	81331	21424
1583	81371	21370
1584	81417	21317
1585	81459	21263
1586	81503	21210
1587	81546	21156
1588	81589	21103
1589	81630	21049
1590	81670	20995
1591	81710	20940
1592	81748	20886
1593	81789	20832
1594	81827	20777
1595	81868	20723
1596	81911	20670
1597	81954	20616
1598	81993	20562
1599	82034	20508
1600	82078	20455
1601	82125	20403
1602	82168	20349
1603	82204	20294
1604	82243	20240
1605	82286	20187
1606	82325	20133
1607	82369	20080
1608	82410	20026
1609	82457	19974
1610	82500	19921
1611	82545	19868
1612	82594	19816
1613	82644	19765
1614	82695	19713
1615	82741	19661
1616	82789	19609
1617	82827	19555
1618	82871	19502
1619	82914	19449
1620	82954	19395
1621	82995	19341
1622	83037	19288
1623	83084	19236
1624	83123	19182
1625	83167	19129
1626	83210	19076
1627	83253	19023
1628	83297	18970
1629	83343	18918
1630	83383	18864
1631	83424	18811
1632	83461	18757
1633	83504	18704
1634	83546	18651
1635	83591	18598
1636	83633	18545
1637	83682	18493
1638	83721	18440
1639	83765	18387
1640	83811	18335
1641	83853	18282
1642	83894	18229
1643	83936	18176
1644	83977	18122
1645	84021	18070
1646	84071	18018
1647	84111	17965
1648	84151	17912
1649	84197	17860
1650	84241	17807
1651	84290	17756
1652	84336	17704
1653	84388	17653
1654	84432	17600
1655	84476	17548
1656	84519	17495
1657	84561	17442
1658	84603	17389
